FromTime,ToTime,AverageSpeed,NumberOfVehicle
23:55:00,00:00:00,36.8,2
00:00:00,00:05:00,23.97,5
00:05:00,00:10:00,28.29,3
00:10:00,00:15:00,29.08,4
00:15:00,00:20:00,24.5,6
00:20:00,00:25:00,7.23,1
00:25:00,00:30:00,33.18,1
00:30:00,00:35:00,28.9,4
00:35:00,00:40:00,15.44,2
00:40:00,00:45:00,28.08,6
00:50:00,00:55:00,13.01,2
00:55:00,01:00:00,20.01,4
01:00:00,01:05:00,20.41,4
01:05:00,01:10:00,22.26,1
01:10:00,01:15:00,30.76,2
01:15:00,01:20:00,30.45,2
01:20:00,01:25:00,24.37,7
01:30:00,01:35:00,9.83,2
01:35:00,01:40:00,0.47,2
01:40:00,01:45:00,14.25,6
01:45:00,01:50:00,25.49,4
01:50:00,01:55:00,10.26,3
01:55:00,02:00:00,42.33,2
02:00:00,02:05:00,35.02,2
02:05:00,02:10:00,28.65,4
02:10:00,02:15:00,37.6,1
02:15:00,02:20:00,38.45,1
02:20:00,02:25:00,22.26,1
02:25:00,02:30:00,0.54,1
02:30:00,02:35:00,23.3,4
02:35:00,02:40:00,45.73,1
02:40:00,02:45:00,17.81,3
02:45:00,02:50:00,31.38,2
02:50:00,02:55:00,37.6,1
03:00:00,03:05:00,0.16,1
03:05:00,03:10:00,36,1
03:10:00,03:15:00,0.73,1
03:15:00,03:20:00,16.19,3
03:20:00,03:25:00,24.81,8
03:25:00,03:30:00,29.45,3
03:30:00,03:35:00,38.45,1
03:35:00,03:40:00,12.97,3
03:45:00,03:50:00,23.72,2
03:50:00,03:55:00,14.84,1
03:55:00,04:00:00,25.32,5
04:00:00,04:05:00,36,1
04:05:00,04:10:00,26.29,3
04:10:00,04:15:00,12.35,6
04:15:00,04:20:00,1.73,3
04:20:00,04:25:00,25.66,6
04:25:00,04:30:00,16.29,3
04:30:00,04:35:00,29.99,5
04:35:00,04:40:00,4.09,2
04:40:00,04:45:00,11.23,10
04:45:00,04:50:00,26.19,2
04:50:00,04:55:00,20.97,6
04:55:00,05:00:00,28.5,4
05:00:00,05:05:00,16.36,5
05:05:00,05:10:00,27.64,8
05:10:00,05:15:00,24.33,4
05:15:00,05:20:00,23.91,8
05:20:00,05:25:00,14.67,6
05:25:00,05:30:00,21.67,5
05:30:00,05:35:00,21.23,3
05:35:00,05:40:00,15.97,6
05:40:00,05:45:00,12.21,5
05:45:00,05:50:00,26.57,5
05:50:00,05:55:00,12.76,7
05:55:00,06:00:00,25.88,14
06:00:00,06:05:00,20.6,13
06:05:00,06:10:00,22.51,19
06:10:00,06:15:00,17.55,16
06:15:00,06:20:00,8.79,5
06:20:00,06:25:00,18.16,6
06:25:00,06:30:00,13.35,16
06:30:00,06:35:00,11.52,27
06:35:00,06:40:00,10.33,6
06:40:00,06:45:00,15.62,26
06:45:00,06:50:00,15.48,22
06:50:00,06:55:00,16.83,16
06:55:00,07:00:00,15.34,16
07:00:00,07:05:00,10.48,9
07:05:00,07:10:00,9.69,16
07:10:00,07:15:00,9.04,14
07:15:00,07:20:00,20.92,15
07:20:00,07:25:00,18.29,7
07:25:00,07:30:00,9.41,17
07:30:00,07:35:00,12.69,18
07:35:00,07:40:00,16.19,18
07:40:00,07:45:00,17.21,8
07:45:00,07:50:00,9.41,8
07:50:00,07:55:00,18.72,20
07:55:00,08:00:00,17.32,8
08:00:00,08:05:00,9.13,12
08:05:00,08:10:00,8.52,11
08:10:00,08:15:00,10.22,9
08:15:00,08:20:00,11.63,9
08:20:00,08:25:00,13.97,10
08:25:00,08:30:00,12.07,11
08:30:00,08:35:00,13.06,7
08:35:00,08:40:00,9.73,10
08:40:00,08:45:00,11.14,6
08:45:00,08:50:00,7.14,8
08:50:00,08:55:00,7.46,10
08:55:00,09:00:00,6.79,10
09:00:00,09:05:00,11.97,12
09:05:00,09:10:00,10.1,6
09:10:00,09:15:00,18.91,11
09:15:00,09:20:00,17.86,12
09:20:00,09:25:00,18.35,8
09:25:00,09:30:00,12.17,13
09:30:00,09:35:00,17.37,15
09:35:00,09:40:00,17.86,10
09:40:00,09:45:00,13.42,9
09:45:00,09:50:00,9.27,16
09:50:00,09:55:00,18.27,5
09:55:00,10:00:00,11.66,8
10:00:00,10:05:00,8.48,15
10:05:00,10:10:00,16.64,8
10:10:00,10:15:00,9.68,9
10:15:00,10:20:00,10.58,14
10:20:00,10:25:00,10.45,10
10:25:00,10:30:00,16.06,13
10:30:00,10:35:00,14.36,16
10:35:00,10:40:00,11.6,11
10:40:00,10:45:00,12.5,17
10:45:00,10:50:00,15.66,15
10:50:00,10:55:00,19.41,9
10:55:00,11:00:00,10.65,16
11:00:00,11:05:00,10.9,4
11:05:00,11:10:00,4.12,12
11:10:00,11:15:00,15.39,11
11:15:00,11:20:00,13.91,8
11:20:00,11:25:00,10.69,9
11:25:00,11:30:00,12.56,6
11:30:00,11:35:00,11.94,10
11:35:00,11:40:00,5.62,7
11:40:00,11:45:00,16.95,11
11:45:00,11:50:00,16.71,11
11:50:00,11:55:00,15.04,9
11:55:00,12:00:00,13.07,13
12:00:00,12:05:00,19.62,6
12:05:00,12:10:00,13.28,21
12:10:00,12:15:00,14.59,9
12:15:00,12:20:00,8.77,10
12:20:00,12:25:00,8.83,17
12:25:00,12:30:00,11.49,10
12:30:00,12:35:00,7.96,7
12:35:00,12:40:00,12.52,10
12:40:00,12:45:00,12.85,12
12:45:00,12:50:00,8.47,8
12:50:00,12:55:00,16.09,11
12:55:00,13:00:00,7.51,13
13:00:00,13:05:00,10.01,14
13:05:00,13:10:00,3.84,8
13:10:00,13:15:00,6.14,8
13:15:00,13:20:00,6.91,12
13:20:00,13:25:00,7.67,11
13:25:00,13:30:00,5.52,17
13:30:00,13:35:00,9.6,9
13:35:00,13:40:00,5.74,17
13:40:00,13:45:00,9.36,13
13:45:00,13:50:00,11.42,4
13:50:00,13:55:00,9.75,8
13:55:00,14:00:00,10.21,9
14:00:00,14:05:00,9.67,18
14:05:00,14:10:00,5.18,6
14:10:00,14:15:00,9.93,10
14:15:00,14:20:00,7.64,15
14:20:00,14:25:00,6.6,23
14:25:00,14:30:00,10.79,11
14:30:00,14:35:00,8.64,18
14:35:00,14:40:00,24.88,1
14:40:00,14:45:00,15.67,14
14:45:00,14:50:00,7.78,5
14:50:00,14:55:00,12.07,12
14:55:00,15:00:00,9.77,10
15:00:00,15:05:00,8.38,7
15:05:00,15:10:00,10.31,15
15:10:00,15:15:00,12.8,19
15:15:00,15:20:00,13.82,12
15:20:00,15:25:00,12.6,7
15:25:00,15:30:00,8.87,12
15:30:00,15:35:00,3.18,5
15:35:00,15:40:00,5.19,7
15:40:00,15:45:00,6.6,9
15:45:00,15:50:00,8.63,17
15:50:00,15:55:00,9.62,17
15:55:00,16:00:00,6.42,12
16:00:00,16:05:00,10.14,15
16:05:00,16:10:00,13.59,19
16:10:00,16:15:00,11.83,12
16:15:00,16:20:00,13.4,13
16:20:00,16:25:00,14.6,15
16:25:00,16:30:00,16.95,9
16:30:00,16:35:00,9.94,13
16:35:00,16:40:00,12.41,8
16:40:00,16:45:00,14.06,19
16:45:00,16:50:00,14.79,25
16:50:00,16:55:00,20.52,8
16:55:00,17:00:00,7.68,15
17:00:00,17:05:00,14.58,15
17:05:00,17:10:00,10.93,15
17:10:00,17:15:00,14.36,14
17:15:00,17:20:00,13.47,17
17:20:00,17:25:00,14.12,13
17:25:00,17:30:00,6.19,19
17:30:00,17:35:00,4.46,7
17:35:00,17:40:00,12.93,7
17:40:00,17:45:00,15.18,13
17:45:00,17:50:00,10.29,14
17:50:00,17:55:00,17.05,9
17:55:00,18:00:00,11.13,14
18:00:00,18:05:00,18.11,12
18:05:00,18:10:00,13.35,15
18:10:00,18:15:00,14.25,18
18:15:00,18:20:00,16.12,7
18:20:00,18:25:00,10.19,16
18:25:00,18:30:00,9.71,16
18:30:00,18:35:00,10.22,22
18:35:00,18:40:00,20.31,11
18:40:00,18:45:00,10.52,15
18:45:00,18:50:00,13.71,17
18:50:00,18:55:00,8.49,15
18:55:00,19:00:00,11.89,14
19:00:00,19:05:00,16.14,11
19:05:00,19:10:00,14.78,16
19:10:00,19:15:00,17.1,14
19:15:00,19:20:00,14.53,15
19:20:00,19:25:00,21.75,18
19:25:00,19:30:00,16.73,13
19:30:00,19:35:00,14.23,12
19:35:00,19:40:00,16.27,14
19:40:00,19:45:00,5.9,5
19:45:00,19:50:00,7.72,10
19:50:00,19:55:00,13.58,16
20:05:00,20:10:00,27.72,9
20:10:00,20:15:00,14.81,9
20:15:00,20:20:00,13.1,9
20:20:00,20:25:00,10.34,10
20:25:00,20:30:00,13.69,14
20:30:00,20:35:00,10.3,14
20:35:00,20:40:00,10.15,12
20:40:00,20:45:00,7.06,12
20:45:00,20:50:00,8.92,11
20:50:00,20:55:00,11.74,6
21:05:00,21:10:00,16.73,9
21:10:00,21:15:00,18.02,13
21:15:00,21:20:00,18.37,15
21:20:00,21:25:00,21.22,13
21:25:00,21:30:00,5.67,7
21:30:00,21:35:00,13.87,9
21:35:00,21:40:00,13,15
21:40:00,21:45:00,12.56,6
21:45:00,21:50:00,17.56,10
21:50:00,21:55:00,10.9,12
22:05:00,22:10:00,14.78,8
22:10:00,22:15:00,20.42,11
22:15:00,22:20:00,17.03,7
22:20:00,22:25:00,13,9
22:25:00,22:30:00,9.4,13
22:30:00,22:35:00,24.22,14
22:35:00,22:40:00,19.2,9
22:40:00,22:45:00,24.57,6
22:45:00,22:50:00,15.59,10
22:50:00,22:55:00,21.01,5
23:05:00,23:10:00,16.82,10
23:10:00,23:15:00,18.97,4
23:15:00,23:20:00,23.19,7
23:20:00,23:25:00,9.5,4
23:25:00,23:30:00,25.9,6
23:30:00,23:35:00,17.46,6
23:35:00,23:40:00,26.21,9
23:40:00,23:45:00,17.9,2
23:45:00,23:50:00,2.71,3
23:50:00,23:55:00,16.83,6
