FromTime,ToTime,AverageSpeed,NumberOfVehicle
23:55:00,00:00:00,21.13,11
00:00:00,00:05:00,19.82,4
00:05:00,00:10:00,26.86,6
00:10:00,00:15:00,32.81,12
00:15:00,00:20:00,28.98,6
00:20:00,00:25:00,23.25,3
00:25:00,00:30:00,21.22,5
00:30:00,00:35:00,24.01,7
00:35:00,00:40:00,23.7,4
00:40:00,00:45:00,18.09,4
00:45:00,00:50:00,23.28,4
00:50:00,00:55:00,46.8,2
00:55:00,01:00:00,18.83,2
01:00:00,01:05:00,23.43,5
01:05:00,01:10:00,17.43,4
01:10:00,01:15:00,27.31,4
01:15:00,01:20:00,22.75,7
01:20:00,01:25:00,26.55,2
01:25:00,01:30:00,45.31,2
01:30:00,01:35:00,25.03,4
01:35:00,01:40:00,23.69,3
01:40:00,01:45:00,23.89,3
01:45:00,01:50:00,30.44,2
01:50:00,01:55:00,20.27,5
01:55:00,02:00:00,26.76,3
02:00:00,02:05:00,18.99,4
02:05:00,02:10:00,32.86,4
02:10:00,02:15:00,23.55,5
02:15:00,02:20:00,21.74,3
02:20:00,02:25:00,23.43,2
02:25:00,02:30:00,27.51,6
02:30:00,02:35:00,29.54,2
02:35:00,02:40:00,24.28,4
02:40:00,02:45:00,15.96,1
02:45:00,02:50:00,18.95,4
02:50:00,02:55:00,19.49,5
02:55:00,03:00:00,28.93,3
03:05:00,03:10:00,17.81,1
03:10:00,03:15:00,27.55,2
03:15:00,03:20:00,16.08,2
03:20:00,03:25:00,24.82,2
03:25:00,03:30:00,26.29,5
03:30:00,03:35:00,26.85,4
03:35:00,03:40:00,45.34,4
03:40:00,03:45:00,21.14,5
03:45:00,03:50:00,22.86,1
03:50:00,03:55:00,17.12,2
03:55:00,04:00:00,32.89,2
04:00:00,04:05:00,20.45,3
04:05:00,04:10:00,16.74,3
04:10:00,04:15:00,30.44,5
04:15:00,04:20:00,31.63,2
04:20:00,04:25:00,21.15,4
04:30:00,04:35:00,24.2,6
04:35:00,04:40:00,16.92,1
04:40:00,04:45:00,26.72,4
04:45:00,04:50:00,30.79,4
04:50:00,04:55:00,14.92,3
04:55:00,05:00:00,19.83,2
05:00:00,05:05:00,17.12,5
05:05:00,05:10:00,27.24,15
05:10:00,05:15:00,17.03,5
05:15:00,05:20:00,16.32,8
05:20:00,05:25:00,23.75,9
05:25:00,05:30:00,25.56,7
05:30:00,05:35:00,25.91,10
05:35:00,05:40:00,37.6,1
05:40:00,05:45:00,20.7,7
05:45:00,05:50:00,20.06,6
05:50:00,05:55:00,22.26,8
05:55:00,06:00:00,19.55,8
06:00:00,06:05:00,14.78,6
06:05:00,06:10:00,15.98,9
06:10:00,06:15:00,19.92,7
06:15:00,06:20:00,26.49,9
06:20:00,06:25:00,10.22,4
06:25:00,06:30:00,24.11,10
06:30:00,06:35:00,21.82,7
06:35:00,06:40:00,15.99,9
06:40:00,06:45:00,19.78,4
06:45:00,06:50:00,26.76,11
06:50:00,06:55:00,33.33,7
06:55:00,07:00:00,26.53,7
07:00:00,07:05:00,33.26,7
07:05:00,07:10:00,17.22,7
07:10:00,07:15:00,19.48,16
07:15:00,07:20:00,25.14,3
07:20:00,07:25:00,22.56,1
07:25:00,07:30:00,24.03,4
07:30:00,07:35:00,13.85,7
07:35:00,07:40:00,23.17,13
07:40:00,07:45:00,22.13,6
07:45:00,07:50:00,11.09,8
07:50:00,07:55:00,17.82,6
07:55:00,08:00:00,19.06,16
08:00:00,08:05:00,25.19,6
08:05:00,08:10:00,17.09,8
08:10:00,08:15:00,16.74,12
08:15:00,08:20:00,17.3,6
08:20:00,08:25:00,10.58,5
08:25:00,08:30:00,14.67,13
08:30:00,08:35:00,17.7,13
08:35:00,08:40:00,18.03,10
08:40:00,08:45:00,21.45,11
08:45:00,08:50:00,22.95,6
08:50:00,08:55:00,20.96,3
08:55:00,09:00:00,17.89,10
09:00:00,09:05:00,13.65,11
09:05:00,09:10:00,23.73,13
09:10:00,09:15:00,10.01,4
09:15:00,09:20:00,21.18,7
09:20:00,09:25:00,12,10
09:25:00,09:30:00,25.39,13
09:30:00,09:35:00,21.35,7
09:35:00,09:40:00,10.84,4
09:40:00,09:45:00,17.7,7
09:45:00,09:50:00,18.45,13
09:50:00,09:55:00,18.03,11
09:55:00,10:00:00,11.84,16
10:00:00,10:05:00,15.56,7
10:05:00,10:10:00,10.86,12
10:10:00,10:15:00,9.87,5
10:15:00,10:20:00,11.4,15
10:20:00,10:25:00,13.11,15
10:25:00,10:30:00,11.27,11
10:30:00,10:35:00,14.02,15
10:35:00,10:40:00,12.62,8
10:40:00,10:45:00,14.68,19
10:45:00,10:50:00,13.33,13
10:50:00,10:55:00,13.01,16
10:55:00,11:00:00,10.68,5
11:00:00,11:05:00,18.26,13
11:05:00,11:10:00,22.44,7
11:10:00,11:15:00,16.36,11
11:15:00,11:20:00,14.29,17
11:20:00,11:25:00,19.45,6
11:25:00,11:30:00,15.99,10
11:30:00,11:35:00,19.55,10
11:35:00,11:40:00,18.27,11
11:40:00,11:45:00,16.82,13
11:45:00,11:50:00,12.4,6
11:50:00,11:55:00,9.94,14
11:55:00,12:00:00,8.19,4
12:00:00,12:05:00,12.82,15
12:05:00,12:10:00,12.43,15
12:10:00,12:15:00,8.86,11
12:15:00,12:20:00,10.51,10
12:20:00,12:25:00,6.11,14
12:25:00,12:30:00,9.14,13
12:30:00,12:35:00,16.91,11
12:35:00,12:40:00,20.29,9
12:40:00,12:45:00,15.92,17
12:45:00,12:50:00,13.28,8
12:50:00,12:55:00,15.92,5
12:55:00,13:00:00,14.78,11
13:00:00,13:05:00,10.78,14
13:05:00,13:10:00,5.78,11
13:10:00,13:15:00,7.52,13
13:15:00,13:20:00,8.6,12
13:20:00,13:25:00,12.52,13
13:25:00,13:30:00,10.11,8
13:30:00,13:35:00,6.78,10
13:35:00,13:40:00,10.54,11
13:40:00,13:45:00,6.88,5
13:45:00,13:50:00,6.23,20
13:50:00,13:55:00,13.21,15
13:55:00,14:00:00,5.69,4
14:00:00,14:05:00,12.84,12
14:05:00,14:10:00,12.54,8
14:10:00,14:15:00,12.36,7
14:15:00,14:20:00,7.22,17
14:20:00,14:25:00,10.31,13
14:25:00,14:30:00,12.8,14
