FromTime,ToTime,AverageSpeed,NumberOfVehicle
23:55:00,00:00:00,18.86,14
00:00:00,00:05:00,31.34,5
00:05:00,00:10:00,38.07,5
00:10:00,00:15:00,30.43,7
00:15:00,00:20:00,24.7,4
00:20:00,00:25:00,29.6,15
00:25:00,00:30:00,33.14,7
00:30:00,00:35:00,31.23,22
00:35:00,00:40:00,28.03,10
00:40:00,00:45:00,27.86,9
00:45:00,00:50:00,26.24,4
00:50:00,00:55:00,30.81,8
00:55:00,01:00:00,35.15,4
01:00:00,01:05:00,31.47,9
01:05:00,01:10:00,33.86,11
01:10:00,01:15:00,26.46,10
01:15:00,01:20:00,37.19,9
01:20:00,01:25:00,33.1,11
01:25:00,01:30:00,33.17,6
01:30:00,01:35:00,26.12,10
01:35:00,01:40:00,28.43,3
01:40:00,01:45:00,22.27,5
01:45:00,01:50:00,29.82,6
01:50:00,01:55:00,19.78,10
01:55:00,02:00:00,25.17,10
02:00:00,02:05:00,31.19,2
02:05:00,02:10:00,37.11,11
02:10:00,02:15:00,28.68,11
02:15:00,02:20:00,27.28,14
02:20:00,02:25:00,23.2,12
02:25:00,02:30:00,30.46,10
02:30:00,02:35:00,29.21,10
02:35:00,02:40:00,28.91,10
02:40:00,02:45:00,35.23,4
02:45:00,02:50:00,31.38,8
02:50:00,02:55:00,28.97,7
02:55:00,03:00:00,43.85,1
03:00:00,03:05:00,49.57,1
03:05:00,03:10:00,31.18,8
03:10:00,03:15:00,28.94,3
03:15:00,03:20:00,21.25,4
03:20:00,03:25:00,28.41,5
03:25:00,03:30:00,35.16,3
03:30:00,03:35:00,24.18,6
03:35:00,03:40:00,38.35,6
03:40:00,03:45:00,44.47,3
03:45:00,03:50:00,28.38,10
03:50:00,03:55:00,33.75,7
03:55:00,04:00:00,32.02,5
04:00:00,04:05:00,26.21,3
04:05:00,04:10:00,36.59,6
04:10:00,04:15:00,27.47,7
04:15:00,04:20:00,28.66,9
04:20:00,04:25:00,33.14,11
04:25:00,04:30:00,19.24,10
04:30:00,04:35:00,46.44,6
04:35:00,04:40:00,40.04,6
04:40:00,04:45:00,33.58,8
04:45:00,04:50:00,23.87,10
04:50:00,04:55:00,20.48,4
04:55:00,05:00:00,31.45,6
05:00:00,05:05:00,36.74,5
05:05:00,05:10:00,22.93,7
05:10:00,05:15:00,26.5,7
05:15:00,05:20:00,45.41,7
05:20:00,05:25:00,25.56,8
05:25:00,05:30:00,20.46,6
05:30:00,05:35:00,26.87,6
05:35:00,05:40:00,28.3,11
05:40:00,05:45:00,30.04,10
05:45:00,05:50:00,49.88,2
05:50:00,05:55:00,24.25,7
05:55:00,06:00:00,30.55,8
06:00:00,06:05:00,21.88,6
06:05:00,06:10:00,28.4,9
06:10:00,06:15:00,26.75,10
06:15:00,06:20:00,26.22,5
06:20:00,06:25:00,21.85,5
06:25:00,06:30:00,28.74,1
06:30:00,06:35:00,29.64,4
06:35:00,06:40:00,38.55,9
06:40:00,06:45:00,29.01,6
06:45:00,06:50:00,32.71,8
06:50:00,06:55:00,32.96,8
06:55:00,07:00:00,23.11,6
07:00:00,07:05:00,28.97,8
07:05:00,07:10:00,31.17,11
07:10:00,07:15:00,23.84,8
07:15:00,07:20:00,38.57,3
07:20:00,07:25:00,27.25,9
07:25:00,07:30:00,22.04,14
07:30:00,07:35:00,25.87,11
07:35:00,07:40:00,19.03,9
07:40:00,07:45:00,24.47,14
07:45:00,07:50:00,32.88,24
07:50:00,07:55:00,32.26,8
07:55:00,08:00:00,25.78,5
08:00:00,08:05:00,24,14
08:05:00,08:10:00,20.12,11
08:10:00,08:15:00,18.14,3
08:15:00,08:20:00,19.82,11
08:20:00,08:25:00,31.36,8
08:25:00,08:30:00,21.17,8
08:30:00,08:35:00,25.23,15
08:35:00,08:40:00,27.71,19
08:40:00,08:45:00,25.1,10
08:45:00,08:50:00,25.86,8
08:50:00,08:55:00,15.4,15
08:55:00,09:00:00,25.26,16
09:00:00,09:05:00,18.33,10
09:05:00,09:10:00,18.55,12
09:10:00,09:15:00,17.04,11
09:15:00,09:20:00,23.76,11
09:20:00,09:25:00,26.14,14
09:25:00,09:30:00,26.42,6
09:30:00,09:35:00,29.66,11
09:35:00,09:40:00,22.51,12
09:40:00,09:45:00,15.57,11
09:45:00,09:50:00,26.79,10
09:50:00,09:55:00,22.26,9
09:55:00,10:00:00,16.73,12
10:00:00,10:05:00,19.98,12
10:05:00,10:10:00,15.97,11
10:10:00,10:15:00,27.4,17
10:15:00,10:20:00,25.5,12
10:20:00,10:25:00,16.58,13
10:25:00,10:30:00,24.7,11
10:30:00,10:35:00,22.37,15
10:35:00,10:40:00,14.47,14
10:40:00,10:45:00,14.34,12
10:45:00,10:50:00,20.19,14
10:50:00,10:55:00,17.65,9
10:55:00,11:00:00,24.26,7
11:00:00,11:05:00,20.54,12
11:05:00,11:10:00,17.61,11
11:10:00,11:15:00,18.28,16
11:15:00,11:20:00,22.06,12
11:20:00,11:25:00,25.04,15
11:25:00,11:30:00,13.65,18
11:30:00,11:35:00,25.47,7
11:35:00,11:40:00,27.25,19
11:40:00,11:45:00,21.09,13
11:45:00,11:50:00,18.01,11
11:50:00,11:55:00,11.34,16
11:55:00,12:00:00,14.85,17
12:00:00,12:05:00,23.79,9
12:05:00,12:10:00,6.95,9
12:10:00,12:15:00,9.56,15
12:15:00,12:20:00,21.24,13
12:20:00,12:25:00,11.28,7
12:25:00,12:30:00,6.72,8
12:30:00,12:35:00,12.45,15
12:35:00,12:40:00,13.52,14
12:40:00,12:45:00,12.2,5
12:45:00,12:50:00,13.85,7
12:50:00,12:55:00,17.88,11
12:55:00,13:00:00,24.98,13
13:00:00,13:05:00,12.95,11
13:05:00,13:10:00,23.24,17
13:10:00,13:15:00,18.2,10
13:15:00,13:20:00,12.76,12
13:20:00,13:25:00,14.49,16
13:25:00,13:30:00,15.34,21
13:30:00,13:35:00,14.68,20
13:35:00,13:40:00,20.09,14
13:40:00,13:45:00,25.07,14
13:45:00,13:50:00,9.48,16
13:50:00,13:55:00,14.15,16
13:55:00,14:00:00,15.47,18
14:00:00,14:05:00,15.07,9
14:05:00,14:10:00,14.55,12
14:10:00,14:15:00,16.31,14
14:15:00,14:20:00,14.22,10
14:20:00,14:25:00,20.13,11
14:25:00,14:30:00,23.53,10
14:30:00,14:35:00,21.47,9
14:35:00,14:40:00,18.14,5
14:40:00,14:45:00,10.85,14
14:45:00,14:50:00,17.2,14
14:50:00,14:55:00,13.25,15
14:55:00,15:00:00,9.22,16
15:00:00,15:05:00,18.75,13
15:05:00,15:10:00,16.61,13
15:10:00,15:15:00,5.22,9
15:15:00,15:20:00,8.6,15
15:20:00,15:25:00,7.19,12
15:25:00,15:30:00,6.55,13
15:30:00,15:35:00,10.95,19
15:35:00,15:40:00,13.27,8
15:40:00,15:45:00,28.83,11
15:45:00,15:50:00,12.96,11
15:50:00,15:55:00,16.72,15
15:55:00,16:00:00,14.38,11
16:00:00,16:05:00,17.84,10
16:05:00,16:10:00,17.61,6
16:10:00,16:15:00,19.66,9
16:15:00,16:20:00,11.29,15
16:20:00,16:25:00,7.97,19
16:25:00,16:30:00,27.22,16
16:30:00,16:35:00,14.05,8
16:35:00,16:40:00,17.39,18
16:40:00,16:45:00,24.34,15
16:45:00,16:50:00,16.09,13
16:50:00,16:55:00,10.86,18
16:55:00,17:00:00,10.96,16
17:00:00,17:05:00,11.55,10
17:05:00,17:10:00,9.56,9
17:10:00,17:15:00,6.3,9
17:15:00,17:20:00,6.67,15
17:20:00,17:25:00,11.7,11
17:25:00,17:30:00,7.5,17
17:30:00,17:35:00,9.68,23
17:35:00,17:40:00,10.4,19
17:40:00,17:45:00,9.15,14
17:45:00,17:50:00,11.65,19
17:50:00,17:55:00,10.26,13
17:55:00,18:00:00,9.11,15
18:00:00,18:05:00,8.98,23
18:05:00,18:10:00,13.84,16
18:10:00,18:15:00,11.21,17
18:15:00,18:20:00,19.3,12
18:20:00,18:25:00,10.89,18
18:25:00,18:30:00,12.27,15
18:30:00,18:35:00,17.29,14
18:35:00,18:40:00,14.48,18
18:40:00,18:45:00,18.14,16
18:45:00,18:50:00,18.66,13
18:50:00,18:55:00,14.49,10
18:55:00,19:00:00,23.52,12
19:00:00,19:05:00,15.57,11
19:05:00,19:10:00,14.72,20
19:10:00,19:15:00,17.26,23
19:15:00,19:20:00,14.87,14
19:20:00,19:25:00,13.87,12
19:25:00,19:30:00,16.67,16
