FromTime,ToTime,AverageSpeed,NumberOfVehicle
23:55:00,00:00:00,28.43,3
00:00:00,00:05:00,34.97,10
00:05:00,00:10:00,30.87,10
00:10:00,00:15:00,30.46,5
00:15:00,00:20:00,29.83,8
00:20:00,00:25:00,22.94,6
00:25:00,00:30:00,38.7,10
00:30:00,00:35:00,34.36,8
00:35:00,00:40:00,25.67,3
00:40:00,00:45:00,28.25,10
00:45:00,00:50:00,32.78,10
00:50:00,00:55:00,32.43,9
00:55:00,01:00:00,32.32,6
01:00:00,01:05:00,37.38,13
01:05:00,01:10:00,41.95,4
01:10:00,01:15:00,31.94,8
01:15:00,01:20:00,25.12,5
01:20:00,01:25:00,32.46,5
01:25:00,01:30:00,26.8,8
01:30:00,01:35:00,28.97,6
01:35:00,01:40:00,42.16,8
01:40:00,01:45:00,44.57,5
01:45:00,01:50:00,26.91,3
01:50:00,01:55:00,21.51,5
01:55:00,02:00:00,28.7,14
02:00:00,02:05:00,28.7,8
02:05:00,02:10:00,43.73,5
02:10:00,02:15:00,25.32,3
02:15:00,02:20:00,23.73,5
02:20:00,02:25:00,33.08,5
02:25:00,02:30:00,24.41,6
02:30:00,02:35:00,27.03,4
02:35:00,02:40:00,23.84,3
02:40:00,02:45:00,25.95,9
02:45:00,02:50:00,27.95,4
02:50:00,02:55:00,33.89,4
02:55:00,03:00:00,36.69,4
03:00:00,03:05:00,14.02,1
03:05:00,03:10:00,42.75,1
03:10:00,03:15:00,32.22,7
03:15:00,03:20:00,39.13,8
03:20:00,03:25:00,34.76,3
03:25:00,03:30:00,35.63,3
03:30:00,03:35:00,40.56,6
03:35:00,03:40:00,31.65,2
03:40:00,03:45:00,38.34,6
03:45:00,03:50:00,24.33,2
03:50:00,03:55:00,28.81,9
03:55:00,04:00:00,39.46,5
04:00:00,04:05:00,16.83,11
04:05:00,04:10:00,23.61,8
04:10:00,04:15:00,31.53,7
04:15:00,04:20:00,27.41,8
04:20:00,04:25:00,39.44,8
04:25:00,04:30:00,24.96,10
04:30:00,04:35:00,22.89,5
04:35:00,04:40:00,33.27,7
04:40:00,04:45:00,4.82,1
04:45:00,04:50:00,38.95,8
04:50:00,04:55:00,18.98,7
04:55:00,05:00:00,26.85,4
05:00:00,05:05:00,36.76,9
05:05:00,05:10:00,18.14,8
05:10:00,05:15:00,37.24,9
05:15:00,05:20:00,21.5,8
05:20:00,05:25:00,32.49,6
05:25:00,05:30:00,32.58,5
05:30:00,05:35:00,17.41,7
05:35:00,05:40:00,29.12,9
05:40:00,05:45:00,26.48,11
05:45:00,05:50:00,35.72,7
05:50:00,05:55:00,31.52,9
05:55:00,06:00:00,28.36,13
06:00:00,06:05:00,28.87,10
06:05:00,06:10:00,23.43,11
06:10:00,06:15:00,16.66,4
06:15:00,06:20:00,27.25,12
06:20:00,06:25:00,25.76,13
06:25:00,06:30:00,29.28,8
06:30:00,06:35:00,23.56,9
06:35:00,06:40:00,25.74,8
06:40:00,06:45:00,25.38,14
06:45:00,06:50:00,11.52,8
06:50:00,06:55:00,26.37,16
06:55:00,07:00:00,18.6,9
07:00:00,07:05:00,12.18,7
07:05:00,07:10:00,23.45,8
07:10:00,07:15:00,16,10
07:15:00,07:20:00,24.56,15
07:20:00,07:25:00,20.91,5
07:25:00,07:30:00,14.81,16
07:30:00,07:35:00,22.47,9
07:35:00,07:40:00,21.98,7
07:40:00,07:45:00,12.67,13
07:45:00,07:50:00,14.93,16
07:50:00,07:55:00,18.99,8
07:55:00,08:00:00,12.71,13
08:00:00,08:05:00,21.44,16
08:05:00,08:10:00,8.72,7
08:10:00,08:15:00,16.4,10
08:15:00,08:20:00,28.15,12
08:20:00,08:25:00,25.54,10
08:25:00,08:30:00,22.74,7
08:30:00,08:35:00,22.45,16
08:35:00,08:40:00,19.48,22
08:40:00,08:45:00,22.1,24
08:45:00,08:50:00,22.06,17
08:50:00,08:55:00,20.46,14
08:55:00,09:00:00,18.4,8
09:00:00,09:05:00,20.1,9
09:05:00,09:10:00,26.5,11
09:10:00,09:15:00,13.75,7
09:15:00,09:20:00,29.68,9
09:20:00,09:25:00,11.99,8
09:25:00,09:30:00,20.87,8
09:30:00,09:35:00,19.33,15
09:35:00,09:40:00,11.05,11
09:40:00,09:45:00,15.51,16
09:45:00,09:50:00,19.58,17
09:50:00,09:55:00,16.91,17
09:55:00,10:00:00,20.26,17
10:00:00,10:05:00,23.72,18
10:05:00,10:10:00,17.58,17
10:10:00,10:15:00,15.33,14
10:15:00,10:20:00,17.87,13
10:20:00,10:25:00,23.52,16
10:25:00,10:30:00,21.39,13
10:30:00,10:35:00,19.24,19
10:35:00,10:40:00,20.32,10
10:40:00,10:45:00,16.45,10
10:45:00,10:50:00,25.9,12
10:50:00,10:55:00,14.97,13
10:55:00,11:00:00,22.84,17
11:00:00,11:05:00,18.06,14
11:05:00,11:10:00,19.12,24
11:10:00,11:15:00,18.05,23
11:15:00,11:20:00,15.94,16
11:20:00,11:25:00,21.62,17
11:25:00,11:30:00,21.37,25
11:30:00,11:35:00,18.78,15
11:35:00,11:40:00,20.62,13
11:40:00,11:45:00,17.01,16
11:45:00,11:50:00,17.27,14
11:50:00,11:55:00,19.53,13
11:55:00,12:00:00,25.59,17
12:00:00,12:05:00,24.37,14
12:05:00,12:10:00,19.5,9
12:10:00,12:15:00,15.87,9
12:15:00,12:20:00,20.59,13
12:20:00,12:25:00,19.39,10
12:25:00,12:30:00,18.4,12
12:30:00,12:35:00,17.46,13
12:35:00,12:40:00,21.88,14
12:40:00,12:45:00,20.28,20
12:45:00,12:50:00,23.24,14
12:50:00,12:55:00,17.15,10
12:55:00,13:00:00,18.95,21
13:00:00,13:05:00,18.13,12
13:05:00,13:10:00,13.99,16
13:10:00,13:15:00,24.3,19
13:15:00,13:20:00,18.2,17
13:20:00,13:25:00,13.5,19
13:25:00,13:30:00,17.39,17
13:30:00,13:35:00,18.42,10
13:35:00,13:40:00,18.04,23
13:40:00,13:45:00,9.88,8
13:45:00,13:50:00,16.54,18
13:50:00,13:55:00,19.66,16
13:55:00,14:00:00,17.37,20
14:00:00,14:05:00,20.99,16
14:05:00,14:10:00,14.13,14
14:10:00,14:15:00,14.2,17
14:15:00,14:20:00,10.09,13
14:20:00,14:25:00,16.52,16
14:25:00,14:30:00,13.19,12
14:30:00,14:35:00,18.8,13
14:35:00,14:40:00,17.27,16
14:40:00,14:45:00,14.52,16
14:45:00,14:50:00,14.33,14
14:50:00,14:55:00,12.53,13
14:55:00,15:00:00,20.92,10
15:00:00,15:05:00,21.11,16
15:05:00,15:10:00,10.82,12
15:10:00,15:15:00,8.99,14
15:15:00,15:20:00,2.82,8
15:20:00,15:25:00,11.08,11
15:25:00,15:30:00,13.25,16
15:30:00,15:35:00,21.07,24
15:35:00,15:40:00,12.63,14
15:40:00,15:45:00,14.79,10
15:45:00,15:50:00,13.57,9
15:50:00,15:55:00,21.7,22
15:55:00,16:00:00,16.78,12
16:00:00,16:05:00,18.2,27
16:05:00,16:10:00,11.55,9
16:10:00,16:15:00,13.56,16
16:15:00,16:20:00,16.44,16
16:20:00,16:25:00,15.59,8
16:25:00,16:30:00,14.8,9
16:30:00,16:35:00,19.51,19
