FromTime,ToTime,AverageSpeed,NumberOfVehicle
23:55:00,00:00:00,16.45,4
00:00:00,00:05:00,8.46,1
00:05:00,00:10:00,24.58,2
00:10:00,00:15:00,13.85,2
00:15:00,00:20:00,26.07,3
00:20:00,00:25:00,18.23,2
00:25:00,00:30:00,20.66,2
00:30:00,00:35:00,15.23,2
00:35:00,00:40:00,28.96,3
00:40:00,00:45:00,26.03,1
00:45:00,00:50:00,12.17,2
00:50:00,00:55:00,15.27,3
00:55:00,01:00:00,13.22,1
01:00:00,01:05:00,30.69,2
01:05:00,01:10:00,22.28,4
01:10:00,01:15:00,4.67,1
01:15:00,01:20:00,31.92,1
01:20:00,01:25:00,18.71,2
01:25:00,01:30:00,18.19,1
01:35:00,01:40:00,28.3,4
01:40:00,01:45:00,24.88,1
01:45:00,01:50:00,25.38,2
01:50:00,01:55:00,19.23,1
01:55:00,02:00:00,0.26,1
02:00:00,02:05:00,3.43,1
02:10:00,02:15:00,23.83,1
02:15:00,02:20:00,4.55,1
02:20:00,02:25:00,3.77,1
02:25:00,02:30:00,17.63,5
02:35:00,02:40:00,17.06,6
02:40:00,02:45:00,17.81,1
02:45:00,02:50:00,23.39,2
02:50:00,02:55:00,18.8,2
02:55:00,03:00:00,20.14,1
03:10:00,03:15:00,16.59,2
03:15:00,03:20:00,19.98,2
03:20:00,03:25:00,25.46,3
03:25:00,03:30:00,17.12,3
03:30:00,03:35:00,19.42,4
03:35:00,03:40:00,19.45,1
03:40:00,03:45:00,26.13,4
03:45:00,03:50:00,20.39,1
03:50:00,03:55:00,16.76,4
03:55:00,04:00:00,28.2,1
04:00:00,04:05:00,30.21,1
04:05:00,04:10:00,21.72,2
04:10:00,04:15:00,18.74,3
04:15:00,04:20:00,20.84,3
04:20:00,04:25:00,20.89,1
04:25:00,04:30:00,30.15,3
04:30:00,04:35:00,10.51,2
04:35:00,04:40:00,15.3,8
04:40:00,04:45:00,9.26,2
04:45:00,04:50:00,33.18,1
04:50:00,04:55:00,34.94,3
04:55:00,05:00:00,27.63,2
05:00:00,05:05:00,25.23,2
05:05:00,05:10:00,18.44,5
05:10:00,05:15:00,24.02,3
05:15:00,05:20:00,11.62,2
05:20:00,05:25:00,17.78,6
05:25:00,05:30:00,31.27,4
05:30:00,05:35:00,14.44,3
05:35:00,05:40:00,21.35,15
05:40:00,05:45:00,24.8,3
05:45:00,05:50:00,16.31,3
05:50:00,05:55:00,17.46,5
05:55:00,06:00:00,12.01,3
06:00:00,06:05:00,11.23,6
06:05:00,06:10:00,12.68,4
06:10:00,06:15:00,15.11,6
06:15:00,06:20:00,10.83,11
06:20:00,06:25:00,16.42,8
06:25:00,06:30:00,11.56,13
06:30:00,06:35:00,7.24,2
06:35:00,06:40:00,14.02,5
06:40:00,06:45:00,7.57,4
06:45:00,06:50:00,12.5,6
06:50:00,06:55:00,12.49,7
06:55:00,07:00:00,5.89,9
07:00:00,07:05:00,12.69,8
07:05:00,07:10:00,7.3,6
07:10:00,07:15:00,13.22,7
07:15:00,07:20:00,6.37,6
07:20:00,07:25:00,6.42,4
07:25:00,07:30:00,15.31,5
07:30:00,07:35:00,6.94,3
07:35:00,07:40:00,9.01,7
07:40:00,07:45:00,6.24,1
07:45:00,07:50:00,11.27,4
07:50:00,07:55:00,4.99,6
07:55:00,08:00:00,10.06,8
08:00:00,08:05:00,11.69,4
08:05:00,08:10:00,10.88,9
08:10:00,08:15:00,12.54,3
08:15:00,08:20:00,6.15,4
08:20:00,08:25:00,10.43,2
08:25:00,08:30:00,6.88,4
08:30:00,08:35:00,4.91,4
08:35:00,08:40:00,4.11,9
08:40:00,08:45:00,8.83,6
08:45:00,08:50:00,5.38,12
08:50:00,08:55:00,8.76,9
08:55:00,09:00:00,10.18,6
09:00:00,09:05:00,8.82,6
09:05:00,09:10:00,11.13,1
09:10:00,09:15:00,11.44,5
09:15:00,09:20:00,4.74,2
09:20:00,09:25:00,13.15,9
09:25:00,09:30:00,6.69,6
09:30:00,09:35:00,10.53,6
09:35:00,09:40:00,16.55,10
09:40:00,09:45:00,9.42,3
09:45:00,09:50:00,10.91,11
09:50:00,09:55:00,13.73,13
09:55:00,10:00:00,11.29,4
10:00:00,10:05:00,7.18,5
10:05:00,10:10:00,4.54,4
10:10:00,10:15:00,4.45,8
10:15:00,10:20:00,5.04,14
10:20:00,10:25:00,7.41,9
10:25:00,10:30:00,6.79,5
10:30:00,10:35:00,3.59,10
10:35:00,10:40:00,6.82,8
