FromTime,ToTime,AverageSpeed,NumberOfVehicle
23:55:00,00:00:00,11.1,3
00:00:00,00:05:00,30.37,3
00:05:00,00:10:00,23.39,3
00:10:00,00:15:00,19.33,3
00:15:00,00:20:00,21.97,1
00:20:00,00:25:00,36.46,4
00:25:00,00:30:00,26.42,3
00:30:00,00:35:00,30.76,1
00:35:00,00:40:00,16.9,3
00:40:00,00:45:00,25.42,5
00:45:00,00:50:00,36.94,4
00:50:00,00:55:00,31.06,2
00:55:00,01:00:00,11.99,2
01:00:00,01:05:00,24.09,2
01:05:00,01:10:00,24.99,4
01:15:00,01:20:00,28.2,1
01:20:00,01:25:00,23.84,4
01:30:00,01:35:00,0.62,1
01:35:00,01:40:00,14.9,4
01:40:00,01:45:00,12.09,1
01:45:00,01:50:00,23.31,4
01:50:00,01:55:00,56.4,1
02:00:00,02:05:00,22.56,1
02:05:00,02:10:00,31.33,1
02:15:00,02:20:00,18.33,3
02:20:00,02:25:00,3.85,1
02:25:00,02:30:00,30.21,2
02:35:00,02:40:00,26.01,4
02:45:00,02:50:00,15.29,4
02:50:00,02:55:00,51.27,1
02:55:00,03:00:00,35.99,3
03:00:00,03:05:00,0.22,1
03:10:00,03:15:00,24.09,3
03:15:00,03:20:00,40.29,1
03:20:00,03:25:00,20.02,2
03:30:00,03:35:00,22.09,4
03:35:00,03:40:00,26.99,2
03:40:00,03:45:00,9.09,2
03:45:00,03:50:00,26.34,2
03:50:00,03:55:00,18.21,4
03:55:00,04:00:00,27.48,3
04:00:00,04:05:00,9.89,4
04:05:00,04:10:00,31.81,3
04:10:00,04:15:00,13.91,2
04:15:00,04:20:00,20.89,1
04:20:00,04:25:00,37.11,2
04:25:00,04:30:00,11.13,1
04:30:00,04:35:00,18.62,6
04:35:00,04:40:00,40.29,1
04:40:00,04:45:00,34.53,1
04:45:00,04:50:00,21.17,7
04:50:00,04:55:00,0.56,1
04:55:00,05:00:00,33.62,3
05:00:00,05:05:00,19.52,3
05:05:00,05:10:00,17.28,4
05:10:00,05:15:00,23.29,8
05:15:00,05:20:00,15.1,3
05:20:00,05:25:00,15.31,3
05:25:00,05:30:00,17.46,6
05:30:00,05:35:00,13.82,6
05:35:00,05:40:00,20.38,2
05:40:00,05:45:00,20.76,8
05:45:00,05:50:00,23.2,2
05:50:00,05:55:00,17.89,6
05:55:00,06:00:00,27.58,3
06:00:00,06:05:00,19.98,10
06:05:00,06:10:00,17.51,3
06:10:00,06:15:00,16.5,11
06:15:00,06:20:00,18.93,5
06:20:00,06:25:00,17.74,6
06:25:00,06:30:00,7.83,4
06:30:00,06:35:00,16.18,6
06:35:00,06:40:00,7.41,11
06:40:00,06:45:00,9.71,6
06:45:00,06:50:00,7.51,2
06:50:00,06:55:00,7.02,12
06:55:00,07:00:00,17.44,3
