FromTime,ToTime,AverageSpeed,NumberOfVehicle,Date,Day
23:55,00:00:00,15.69,7,2023-02-27,Monday
14:35,14:40:00,4.92,4,2023-02-06,Monday
14:40,14:45:00,6.0,19,2023-02-06,Monday
14:45,14:50:00,4.54,12,2023-02-06,Monday
14:50,14:55:00,4.29,7,2023-02-06,Monday
14:55,15:00:00,5.02,10,2023-02-06,Monday
15:00,15:05:00,2.7,5,2023-02-06,Monday
15:05,15:10:00,5.48,13,2023-02-06,Monday
15:10,15:15:00,4.35,8,2023-02-06,Monday
15:15,15:20:00,4.36,14,2023-02-06,Monday
15:20,15:25:00,7.5,15,2023-02-06,Monday
15:25,15:30:00,9.97,12,2023-02-06,Monday
15:30,15:35:00,8.01,9,2023-02-06,Monday
15:35,15:40:00,10.84,15,2023-02-06,Monday
15:40,15:45:00,8.22,11,2023-02-06,Monday
15:45,15:50:00,8.79,13,2023-02-06,Monday
15:50,15:55:00,4.36,11,2023-02-06,Monday
15:55,16:00:00,10.93,9,2023-02-06,Monday
17:05,17:10:00,9.42,18,2023-02-06,Monday
17:00,17:05:00,11.92,12,2023-02-06,Monday
16:55,17:00:00,9.48,18,2023-02-06,Monday
16:50,16:55:00,7.48,14,2023-02-06,Monday
16:45,16:50:00,11.12,10,2023-02-06,Monday
16:40,16:45:00,6.94,23,2023-02-06,Monday
14:30,14:35:00,4.74,11,2023-02-06,Monday
16:35,16:40:00,6.18,18,2023-02-06,Monday
16:25,16:30:00,9.24,20,2023-02-06,Monday
16:20,16:25:00,5.74,12,2023-02-06,Monday
16:15,16:20:00,12.55,13,2023-02-06,Monday
16:10,16:15:00,11.32,7,2023-02-06,Monday
16:05,16:10:00,8.5,10,2023-02-06,Monday
16:00,16:05:00,9.68,22,2023-02-06,Monday
16:30,16:35:00,14.18,9,2023-02-06,Monday
14:25,14:30:00,12.51,4,2023-02-06,Monday
14:20,14:25:00,3.45,8,2023-02-06,Monday
14:15,14:20:00,6.98,13,2023-02-06,Monday
12:40,12:45:00,10.07,9,2023-02-06,Monday
12:35,12:40:00,7.03,19,2023-02-06,Monday
12:30,12:35:00,7.78,4,2023-02-06,Monday
12:25,12:30:00,8.73,14,2023-02-06,Monday
12:20,12:25:00,11.26,14,2023-02-06,Monday
12:15,12:20:00,10.76,8,2023-02-06,Monday
12:45,12:50:00,8.38,16,2023-02-06,Monday
12:10,12:15:00,8.77,16,2023-02-06,Monday
12:00,12:05:00,10.39,19,2023-02-06,Monday
11:55,12:00:00,13.25,13,2023-02-06,Monday
11:50,11:55:00,13.86,13,2023-02-06,Monday
11:45,11:50:00,11.65,10,2023-02-06,Monday
11:40,11:45:00,21.93,7,2023-02-06,Monday
11:35,11:40:00,14.27,14,2023-02-06,Monday
12:05,12:10:00,9.29,7,2023-02-06,Monday
17:10,17:15:00,5.12,8,2023-02-06,Monday
12:50,12:55:00,10.17,9,2023-02-06,Monday
13:00,13:05:00,7.77,9,2023-02-06,Monday
14:10,14:15:00,2.14,10,2023-02-06,Monday
14:05,14:10:00,4.45,14,2023-02-06,Monday
14:00,14:05:00,3.0,7,2023-02-06,Monday
13:55,14:00:00,5.75,14,2023-02-06,Monday
13:50,13:55:00,5.58,6,2023-02-06,Monday
13:45,13:50:00,4.39,13,2023-02-06,Monday
12:55,13:00:00,14.37,3,2023-02-06,Monday
13:40,13:45:00,4.16,9,2023-02-06,Monday
13:30,13:35:00,6.2,18,2023-02-06,Monday
13:25,13:30:00,7.41,8,2023-02-06,Monday
13:20,13:25:00,5.99,12,2023-02-06,Monday
13:15,13:20:00,6.19,14,2023-02-06,Monday
13:10,13:15:00,10.68,14,2023-02-06,Monday
13:05,13:10:00,9.65,10,2023-02-06,Monday
13:35,13:40:00,8.63,8,2023-02-06,Monday
11:30,11:35:00,18.6,7,2023-02-06,Monday
17:15,17:20:00,7.39,11,2023-02-06,Monday
17:25,17:30:00,8.25,13,2023-02-06,Monday
20:30,20:35:00,10.05,13,2023-02-06,Monday
20:35,20:40:00,11.82,11,2023-02-06,Monday
20:40,20:45:00,9.27,13,2023-02-06,Monday
20:45,20:50:00,9.93,12,2023-02-06,Monday
20:50,20:55:00,12.26,9,2023-02-06,Monday
20:55,21:00:00,15.67,19,2023-02-06,Monday
21:00,21:05:00,21.77,15,2023-02-06,Monday
21:05,21:10:00,11.96,16,2023-02-06,Monday
21:10,21:15:00,17.31,10,2023-02-06,Monday
21:15,21:20:00,12.8,9,2023-02-06,Monday
21:20,21:25:00,12.41,15,2023-02-06,Monday
21:25,21:30:00,16.9,11,2023-02-06,Monday
21:30,21:35:00,17.94,15,2023-02-06,Monday
21:35,21:40:00,16.81,8,2023-02-06,Monday
21:40,21:45:00,7.61,12,2023-02-06,Monday
21:45,21:50:00,22.18,5,2023-02-06,Monday
21:50,21:55:00,15.37,12,2023-02-06,Monday
23:00,23:05:00,10.31,12,2023-02-06,Monday
22:55,23:00:00,13.49,7,2023-02-06,Monday
22:50,22:55:00,26.12,6,2023-02-06,Monday
22:45,22:50:00,18.39,7,2023-02-06,Monday
22:40,22:45:00,18.25,6,2023-02-06,Monday
22:35,22:40:00,17.51,7,2023-02-06,Monday
20:25,20:30:00,9.32,17,2023-02-06,Monday
22:30,22:35:00,8.76,9,2023-02-06,Monday
22:20,22:25:00,9.1,8,2023-02-06,Monday
22:15,22:20:00,20.04,6,2023-02-06,Monday
22:10,22:15:00,12.87,19,2023-02-06,Monday
22:05,22:10:00,13.84,5,2023-02-06,Monday
22:00,22:05:00,24.27,10,2023-02-06,Monday
21:55,22:00:00,9.16,10,2023-02-06,Monday
22:25,22:30:00,12.34,11,2023-02-06,Monday
20:20,20:25:00,9.89,21,2023-02-06,Monday
20:15,20:20:00,11.18,12,2023-02-06,Monday
20:10,20:15:00,20.23,12,2023-02-06,Monday
18:35,18:40:00,15.96,10,2023-02-06,Monday
18:30,18:35:00,7.43,17,2023-02-06,Monday
18:25,18:30:00,13.1,20,2023-02-06,Monday
18:20,18:25:00,5.09,19,2023-02-06,Monday
18:15,18:20:00,6.21,14,2023-02-06,Monday
18:10,18:15:00,7.84,7,2023-02-06,Monday
18:40,18:45:00,9.14,16,2023-02-06,Monday
18:05,18:10:00,8.38,17,2023-02-06,Monday
17:55,18:00:00,12.98,15,2023-02-06,Monday
17:50,17:55:00,10.57,7,2023-02-06,Monday
17:45,17:50:00,8.5,14,2023-02-06,Monday
17:40,17:45:00,10.6,15,2023-02-06,Monday
17:35,17:40:00,9.02,14,2023-02-06,Monday
17:30,17:35:00,7.13,11,2023-02-06,Monday
18:00,18:05:00,15.81,8,2023-02-06,Monday
