FromTime,ToTime,AverageSpeed,NumberOfVehicle,Date,Day
18:25,18:30:00,11.56,16,2023-01-16,Monday
14:45,14:50:00,16.19,23,2023-01-16,Monday
14:50,14:55:00,10.18,15,2023-01-16,Monday
14:55,15:00:00,14.27,7,2023-01-16,Monday
15:00,15:05:00,14.5,18,2023-01-16,Monday
15:05,15:10:00,9.12,11,2023-01-16,Monday
15:10,15:15:00,9.02,12,2023-01-16,Monday
15:15,15:20:00,8.47,20,2023-01-16,Monday
14:40,14:45:00,10.03,13,2023-01-16,Monday
15:20,15:25:00,9.28,19,2023-01-16,Monday
15:30,15:35:00,6.98,10,2023-01-16,Monday
15:35,15:40:00,6.42,12,2023-01-16,Monday
15:40,15:45:00,7.48,15,2023-01-16,Monday
15:45,15:50:00,14.73,13,2023-01-16,Monday
15:50,15:55:00,13.31,23,2023-01-16,Monday
15:55,16:00:00,10.09,13,2023-01-16,Monday
16:00,16:05:00,9.76,15,2023-01-16,Monday
15:25,15:30:00,8.66,17,2023-01-16,Monday
14:35,14:40:00,7.32,10,2023-01-16,Monday
14:30,14:35:00,10.33,15,2023-01-16,Monday
14:25,14:30:00,12.33,14,2023-01-16,Monday
13:00,13:05:00,9.25,16,2023-01-16,Monday
13:05,13:10:00,8.18,18,2023-01-16,Monday
13:10,13:15:00,7.99,21,2023-01-16,Monday
13:15,13:20:00,9.72,24,2023-01-16,Monday
13:20,13:25:00,12.46,12,2023-01-16,Monday
13:25,13:30:00,9.82,13,2023-01-16,Monday
13:30,13:35:00,12.49,19,2023-01-16,Monday
13:35,13:40:00,15.26,11,2023-01-16,Monday
13:40,13:45:00,19.44,17,2023-01-16,Monday
13:45,13:50:00,16.11,22,2023-01-16,Monday
13:50,13:55:00,14.66,17,2023-01-16,Monday
13:55,14:00:00,22.31,14,2023-01-16,Monday
14:00,14:05:00,16.85,10,2023-01-16,Monday
14:05,14:10:00,16.25,15,2023-01-16,Monday
14:10,14:15:00,17.01,11,2023-01-16,Monday
14:15,14:20:00,16.79,13,2023-01-16,Monday
14:20,14:25:00,10.82,14,2023-01-16,Monday
16:05,16:10:00,13.67,12,2023-01-16,Monday
12:55,13:00:00,6.44,20,2023-01-16,Monday
16:10,16:15:00,5.21,11,2023-01-16,Monday
16:20,16:25:00,10.17,17,2023-01-16,Monday
18:10,18:15:00,9.14,11,2023-01-16,Monday
18:15,18:20:00,10.7,9,2023-01-16,Monday
18:20,18:25:00,13.52,17,2023-01-16,Monday
18:30,18:35:00,10.43,11,2023-01-16,Monday
18:35,18:40:00,4.7,9,2023-01-16,Monday
18:40,18:45:00,16.36,20,2023-01-16,Monday
18:45,18:50:00,13.45,13,2023-01-16,Monday
18:05,18:10:00,8.85,16,2023-01-16,Monday
18:50,18:55:00,16.32,9,2023-01-16,Monday
19:00,19:05:00,20.35,12,2023-01-16,Monday
19:05,19:10:00,9.76,10,2023-01-16,Monday
19:10,19:15:00,14.26,10,2023-01-16,Monday
19:15,19:20:00,8.41,9,2023-01-16,Monday
19:20,19:25:00,10.27,10,2023-01-16,Monday
19:25,19:30:00,17.55,10,2023-01-16,Monday
19:30,19:35:00,13.16,15,2023-01-16,Monday
18:55,19:00:00,7.96,6,2023-01-16,Monday
18:00,18:05:00,14.54,10,2023-01-16,Monday
17:55,18:00:00,11.7,15,2023-01-16,Monday
17:50,17:55:00,12.46,21,2023-01-16,Monday
16:25,16:30:00,16.42,6,2023-01-16,Monday
16:30,16:35:00,20.16,5,2023-01-16,Monday
16:35,16:40:00,11.02,18,2023-01-16,Monday
16:40,16:45:00,9.37,17,2023-01-16,Monday
16:45,16:50:00,10.6,9,2023-01-16,Monday
16:50,16:55:00,18.41,17,2023-01-16,Monday
16:55,17:00:00,17.33,12,2023-01-16,Monday
17:00,17:05:00,14.43,9,2023-01-16,Monday
17:05,17:10:00,6.59,12,2023-01-16,Monday
17:10,17:15:00,14.85,15,2023-01-16,Monday
17:15,17:20:00,17.9,7,2023-01-16,Monday
17:20,17:25:00,14.67,17,2023-01-16,Monday
17:25,17:30:00,10.63,9,2023-01-16,Monday
17:30,17:35:00,3.17,3,2023-01-16,Monday
17:35,17:40:00,12.47,12,2023-01-16,Monday
17:40,17:45:00,8.8,14,2023-01-16,Monday
17:45,17:50:00,10.0,10,2023-01-16,Monday
16:15,16:20:00,8.45,17,2023-01-16,Monday
19:35,19:40:00,19.68,10,2023-01-16,Monday
12:50,12:55:00,3.68,24,2023-01-16,Monday
12:40,12:45:00,2.54,15,2023-01-16,Monday
07:55,08:00:00,21.92,20,2023-01-16,Monday
08:00,08:05:00,21.56,12,2023-01-16,Monday
08:05,08:10:00,18.19,17,2023-01-16,Monday
08:10,08:15:00,20.99,9,2023-01-16,Monday
