FromTime,ToTime,AverageSpeed,NumberOfVehicle,Date,Day
11:10,11:15:00,28.47,1,2023-02-06,Monday
18:05,18:10:00,0.26,1,2023-02-06,Monday
18:00,18:05:00,12.48,4,2023-02-06,Monday
17:55,18:00:00,26.35,2,2023-02-06,Monday
17:50,17:55:00,2.26,2,2023-02-06,Monday
17:45,17:50:00,39.58,2,2023-02-06,Monday
17:40,17:45:00,28.21,4,2023-02-06,Monday
17:35,17:40:00,0.03,1,2023-02-06,Monday
17:30,17:35:00,0.03,3,2023-02-06,Monday
17:25,17:30:00,8.77,4,2023-02-06,Monday
17:20,17:25:00,0.69,5,2023-02-06,Monday
17:15,17:20:00,11.49,4,2023-02-06,Monday
17:10,17:15:00,13.51,3,2023-02-06,Monday
17:05,17:10:00,1.96,5,2023-02-06,Monday
17:00,17:05:00,0.11,1,2023-02-06,Monday
16:55,17:00:00,6.18,1,2023-02-06,Monday
16:45,16:50:00,0.83,1,2023-02-06,Monday
16:40,16:45:00,0.25,5,2023-02-06,Monday
16:35,16:40:00,20.95,2,2023-02-06,Monday
16:25,16:30:00,0.12,2,2023-02-06,Monday
18:10,18:15:00,9.74,3,2023-02-06,Monday
18:15,18:20:00,0.05,3,2023-02-06,Monday
18:20,18:25:00,3.67,5,2023-02-06,Monday
18:30,18:35:00,7.46,3,2023-02-06,Monday
20:20,20:25:00,26.26,2,2023-02-06,Monday
20:15,20:20:00,3.83,4,2023-02-06,Monday
20:10,20:15:00,6.41,4,2023-02-06,Monday
20:05,20:10:00,4.62,3,2023-02-06,Monday
19:55,20:00:00,6.96,4,2023-02-06,Monday
19:50,19:55:00,0.02,1,2023-02-06,Monday
19:45,19:50:00,4.53,3,2023-02-06,Monday
19:40,19:45:00,15.69,1,2023-02-06,Monday
19:35,19:40:00,7.89,3,2023-02-06,Monday
16:20,16:25:00,17.05,3,2023-02-06,Monday
19:30,19:35:00,6.84,4,2023-02-06,Monday
19:20,19:25:00,1.91,4,2023-02-06,Monday
19:15,19:20:00,0.76,2,2023-02-06,Monday
19:10,19:15:00,26.61,1,2023-02-06,Monday
19:00,19:05:00,0.68,2,2023-02-06,Monday
18:55,19:00:00,12.77,3,2023-02-06,Monday
18:50,18:55:00,5.22,3,2023-02-06,Monday
18:45,18:50:00,0.33,2,2023-02-06,Monday
18:40,18:45:00,2.12,3,2023-02-06,Monday
18:35,18:40:00,1.53,3,2023-02-06,Monday
19:25,19:30:00,0.62,6,2023-02-06,Monday
