FromTime,ToTime,AverageSpeed,NumberOfVehicle,Date,Day
00:20,00:25:00,4.78,2,2023-02-27,Monday
18:10,18:15:00,5.8,2,2023-02-06,Monday
18:00,18:05:00,5.94,5,2023-02-06,Monday
17:55,18:00:00,4.83,4,2023-02-06,Monday
17:50,17:55:00,0.31,3,2023-02-06,Monday
17:45,17:50:00,6.41,4,2023-02-06,Monday
17:40,17:45:00,9.01,3,2023-02-06,Monday
17:35,17:40:00,0.82,5,2023-02-06,Monday
17:25,17:30:00,0.78,2,2023-02-06,Monday
17:20,17:25:00,0.2,5,2023-02-06,Monday
17:15,17:20:00,4.25,5,2023-02-06,Monday
17:10,17:15:00,0.09,2,2023-02-06,Monday
17:05,17:10:00,7.23,3,2023-02-06,Monday
17:00,17:05:00,4.22,6,2023-02-06,Monday
16:55,17:00:00,0.67,1,2023-02-06,Monday
16:50,16:55:00,0.78,1,2023-02-06,Monday
16:45,16:50:00,3.07,4,2023-02-06,Monday
16:40,16:45:00,0.17,3,2023-02-06,Monday
18:15,18:20:00,3.07,7,2023-02-06,Monday
16:35,16:40:00,0.32,4,2023-02-06,Monday
18:20,18:25:00,0.07,3,2023-02-06,Monday
18:30,18:35:00,1.11,3,2023-02-06,Monday
20:15,20:20:00,12.03,2,2023-02-06,Monday
20:05,20:10:00,2.28,3,2023-02-06,Monday
20:00,20:05:00,12.81,3,2023-02-06,Monday
19:55,20:00:00,0.13,3,2023-02-06,Monday
19:40,19:45:00,1.71,1,2023-02-06,Monday
19:30,19:35:00,8.15,5,2023-02-06,Monday
19:25,19:30:00,10.75,5,2023-02-06,Monday
19:20,19:25:00,19.82,3,2023-02-06,Monday
19:15,19:20:00,2.54,2,2023-02-06,Monday
19:10,19:15:00,9.34,4,2023-02-06,Monday
19:05,19:10:00,1.04,1,2023-02-06,Monday
19:00,19:05:00,42.17,1,2023-02-06,Monday
18:55,19:00:00,7.92,2,2023-02-06,Monday
18:50,18:55:00,6.77,6,2023-02-06,Monday
18:45,18:50:00,4.77,3,2023-02-06,Monday
18:40,18:45:00,0.21,1,2023-02-06,Monday
18:35,18:40:00,13.68,8,2023-02-06,Monday
18:25,18:30:00,3.15,2,2023-02-06,Monday
20:20,20:25:00,10.0,3,2023-02-06,Monday
16:30,16:35:00,1.94,3,2023-02-06,Monday
16:20,16:25:00,0.76,1,2023-02-06,Monday
14:25,14:30:00,0.49,2,2023-02-06,Monday
14:20,14:25:00,0.24,3,2023-02-06,Monday
14:15,14:20:00,9.69,5,2023-02-06,Monday
14:10,14:15:00,9.33,4,2023-02-06,Monday
14:05,14:10:00,12.41,3,2023-02-06,Monday
14:00,14:05:00,4.77,6,2023-02-06,Monday
13:55,14:00:00,0.75,4,2023-02-06,Monday
13:45,13:50:00,8.06,2,2023-02-06,Monday
13:40,13:45:00,7.77,7,2023-02-06,Monday
13:30,13:35:00,20.12,2,2023-02-06,Monday
13:25,13:30:00,3.98,2,2023-02-06,Monday
13:20,13:25:00,19.9,3,2023-02-06,Monday
13:15,13:20:00,0.3,2,2023-02-06,Monday
13:10,13:15:00,3.47,4,2023-02-06,Monday
13:05,13:10:00,0.91,3,2023-02-06,Monday
13:00,13:05:00,3.06,2,2023-02-06,Monday
12:55,13:00:00,13.52,4,2023-02-06,Monday
14:30,14:35:00,0.34,3,2023-02-06,Monday
16:25,16:30:00,0.12,2,2023-02-06,Monday
14:35,14:40:00,0.77,2,2023-02-06,Monday
14:50,14:55:00,33.93,1,2023-02-06,Monday
16:15,16:20:00,8.33,4,2023-02-06,Monday
16:10,16:15:00,10.04,2,2023-02-06,Monday
16:05,16:10:00,0.12,2,2023-02-06,Monday
16:00,16:05:00,19.53,2,2023-02-06,Monday
15:55,16:00:00,16.74,2,2023-02-06,Monday
15:50,15:55:00,9.61,2,2023-02-06,Monday
15:45,15:50:00,1.21,2,2023-02-06,Monday
15:40,15:45:00,5.03,2,2023-02-06,Monday
15:35,15:40:00,2.69,2,2023-02-06,Monday
15:30,15:35:00,12.52,3,2023-02-06,Monday
15:25,15:30:00,1.75,6,2023-02-06,Monday
15:20,15:25:00,2.04,3,2023-02-06,Monday
15:15,15:20:00,9.54,6,2023-02-06,Monday
15:10,15:15:00,2.2,2,2023-02-06,Monday
15:05,15:10:00,13.56,4,2023-02-06,Monday
15:00,15:05:00,15.96,3,2023-02-06,Monday
14:55,15:00:00,1.19,6,2023-02-06,Monday
14:45,14:50:00,23.8,3,2023-02-06,Monday
12:50,12:55:00,0.34,3,2023-02-06,Monday
20:25,20:30:00,0.29,1,2023-02-06,Monday
20:35,20:40:00,0.63,3,2023-02-06,Monday
08:20,08:25:00,1.8,1,2023-02-13,Monday
08:15,08:20:00,5.32,2,2023-02-13,Monday
08:05,08:10:00,0.5,1,2023-02-13,Monday
07:55,08:00:00,39.83,2,2023-02-13,Monday
07:50,07:55:00,2.04,3,2023-02-13,Monday
07:40,07:45:00,17.47,2,2023-02-13,Monday
07:35,07:40:00,50.03,1,2023-02-13,Monday
07:30,07:35:00,0.28,2,2023-02-13,Monday
07:20,07:25:00,2.85,1,2023-02-13,Monday
07:00,07:05:00,0.95,3,2023-02-13,Monday
06:45,06:50:00,60.18,2,2023-02-13,Monday
06:40,06:45:00,35.6,2,2023-02-13,Monday
06:35,06:40:00,8.95,1,2023-02-13,Monday
06:30,06:35:00,18.17,2,2023-02-13,Monday
06:25,06:30:00,0.26,1,2023-02-13,Monday
06:10,06:15:00,3.31,1,2023-02-13,Monday
06:00,06:05:00,1.57,1,2023-02-13,Monday
08:25,08:30:00,55.7,1,2023-02-13,Monday
05:45,05:50:00,25.08,2,2023-02-13,Monday
08:30,08:35:00,2.65,2,2023-02-13,Monday
08:45,08:50:00,0.49,1,2023-02-13,Monday
10:30,10:35:00,24.81,1,2023-02-13,Monday
10:25,10:30:00,27.59,1,2023-02-13,Monday
10:20,10:25:00,1.68,2,2023-02-13,Monday
10:15,10:20:00,0.75,1,2023-02-13,Monday
10:10,10:15:00,5.38,2,2023-02-13,Monday
10:05,10:10:00,0.58,1,2023-02-13,Monday
09:55,10:00:00,0.34,1,2023-02-13,Monday
09:50,09:55:00,5.7,2,2023-02-13,Monday
09:45,09:50:00,35.14,1,2023-02-13,Monday
09:40,09:45:00,3.5,1,2023-02-13,Monday
09:35,09:40:00,33.55,1,2023-02-13,Monday
09:30,09:35:00,0.33,2,2023-02-13,Monday
09:25,09:30:00,14.29,5,2023-02-13,Monday
09:15,09:20:00,0.78,3,2023-02-13,Monday
09:10,09:15:00,0.91,2,2023-02-13,Monday
08:55,09:00:00,1.45,2,2023-02-13,Monday
08:50,08:55:00,9.03,3,2023-02-13,Monday
08:40,08:45:00,7.17,1,2023-02-13,Monday
20:30,20:35:00,1.6,1,2023-02-06,Monday
05:40,05:45:00,2.87,2,2023-02-13,Monday
05:20,05:25:00,37.39,2,2023-02-13,Monday
23:05,23:10:00,18.82,2,2023-02-06,Monday
22:50,22:55:00,14.54,1,2023-02-06,Monday
22:45,22:50:00,0.14,1,2023-02-06,Monday
22:40,22:45:00,1.55,2,2023-02-06,Monday
22:10,22:15:00,14.04,2,2023-02-06,Monday
22:05,22:10:00,18.62,2,2023-02-06,Monday
21:55,22:00:00,7.97,3,2023-02-06,Monday
21:50,21:55:00,22.4,2,2023-02-06,Monday
21:45,21:50:00,0.22,2,2023-02-06,Monday
21:35,21:40:00,0.05,1,2023-02-06,Monday
21:25,21:30:00,10.76,4,2023-02-06,Monday
21:15,21:20:00,1.1,2,2023-02-06,Monday
21:10,21:15:00,5.75,2,2023-02-06,Monday
21:05,21:10:00,4.73,4,2023-02-06,Monday
20:55,21:00:00,0.07,1,2023-02-06,Monday
20:50,20:55:00,27.85,1,2023-02-06,Monday
20:45,20:50:00,6.87,2,2023-02-06,Monday
23:25,23:30:00,0.59,1,2023-02-06,Monday
05:25,05:30:00,54.4,3,2023-02-13,Monday
23:35,23:40:00,34.73,1,2023-02-06,Monday
23:50,23:55:00,39.36,1,2023-02-06,Monday
