FromTime,ToTime,AverageSpeed,NumberOfVehicle,Date,Day
15:55,16:00:00,17.71,18,2023-02-06,Monday
16:00,16:05:00,18.87,9,2023-02-06,Monday
15:55,16:00:00,17.71,18,2023-02-06,Monday
15:50,15:55:00,21.72,14,2023-02-06,Monday
15:45,15:50:00,11.03,13,2023-02-06,Monday
15:40,15:45:00,21.6,14,2023-02-06,Monday
15:35,15:40:00,25.28,14,2023-02-06,Monday
16:05,16:10:00,23.28,14,2023-02-06,Monday
15:30,15:35:00,14.5,18,2023-02-06,Monday
15:20,15:25:00,15.1,20,2023-02-06,Monday
15:15,15:20:00,10.7,14,2023-02-06,Monday
15:10,15:15:00,9.28,18,2023-02-06,Monday
15:05,15:10:00,15.55,10,2023-02-06,Monday
15:00,15:05:00,11.45,11,2023-02-06,Monday
14:55,15:00:00,15.97,14,2023-02-06,Monday
15:25,15:30:00,15.78,13,2023-02-06,Monday
16:10,16:15:00,19.11,19,2023-02-06,Monday
16:15,16:20:00,15.48,12,2023-02-06,Monday
16:20,16:25:00,24.47,19,2023-02-06,Monday
17:35,17:40:00,13.4,14,2023-02-06,Monday
17:30,17:35:00,9.23,24,2023-02-06,Monday
17:25,17:30:00,7.16,21,2023-02-06,Monday
17:20,17:25:00,7.4,29,2023-02-06,Monday
17:15,17:20:00,7.81,13,2023-02-06,Monday
17:10,17:15:00,13.69,15,2023-02-06,Monday
17:05,17:10:00,14.31,12,2023-02-06,Monday
17:00,17:05:00,14.23,11,2023-02-06,Monday
16:55,17:00:00,12.27,21,2023-02-06,Monday
16:50,16:55:00,17.29,13,2023-02-06,Monday
16:45,16:50:00,13.09,16,2023-02-06,Monday
16:40,16:45:00,14.59,18,2023-02-06,Monday
16:35,16:40:00,19.24,12,2023-02-06,Monday
16:30,16:35:00,8.65,25,2023-02-06,Monday
16:25,16:30:00,18.87,17,2023-02-06,Monday
14:50,14:55:00,22.06,13,2023-02-06,Monday
14:45,14:50:00,20.04,13,2023-02-06,Monday
14:40,14:45:00,13.86,19,2023-02-06,Monday
14:35,14:40:00,12.75,28,2023-02-06,Monday
02:30,02:35:00,27.03,4,2023-01-30,Monday
02:25,02:30:00,24.41,6,2023-01-30,Monday
02:20,02:25:00,33.08,5,2023-01-30,Monday
02:15,02:20:00,23.73,5,2023-01-30,Monday
02:10,02:15:00,25.32,3,2023-01-30,Monday
02:05,02:10:00,43.73,5,2023-01-30,Monday
02:00,02:05:00,28.7,8,2023-01-30,Monday
01:55,02:00:00,28.7,14,2023-01-30,Monday
01:50,01:55:00,21.51,5,2023-01-30,Monday
01:45,01:50:00,26.91,3,2023-01-30,Monday
01:40,01:45:00,44.57,5,2023-01-30,Monday
01:35,01:40:00,42.16,8,2023-01-30,Monday
01:30,01:35:00,28.97,6,2023-01-30,Monday
01:25,01:30:00,26.8,8,2023-01-30,Monday
01:20,01:25:00,32.46,5,2023-01-30,Monday
02:35,02:40:00,23.84,3,2023-01-30,Monday
17:40,17:45:00,9.77,10,2023-02-06,Monday
02:40,02:45:00,25.95,9,2023-01-30,Monday
02:50,02:55:00,33.89,4,2023-01-30,Monday
14:30,14:35:00,11.58,14,2023-02-06,Monday
14:25,14:30:00,8.99,13,2023-02-06,Monday
14:20,14:25:00,10.01,14,2023-02-06,Monday
14:15,14:20:00,18.2,14,2023-02-06,Monday
14:10,14:15:00,15.18,12,2023-02-06,Monday
14:05,14:10:00,18.05,9,2023-02-06,Monday
14:00,14:05:00,12.89,19,2023-02-06,Monday
13:55,14:00:00,20.74,9,2023-02-06,Monday
