FromTime,ToTime,AverageSpeed,NumberOfVehicle,Date,Day
02:25,02:30:00,0.83,1,2023-02-06,Monday
08:55,09:00:00,17.23,10,2023-02-06,Monday
08:50,08:55:00,17.92,10,2023-02-06,Monday
08:45,08:50:00,28.42,9,2023-02-06,Monday
08:40,08:45:00,9.56,4,2023-02-06,Monday
08:35,08:40:00,20.74,6,2023-02-06,Monday
08:30,08:35:00,14.47,11,2023-02-06,Monday
08:25,08:30:00,23.44,6,2023-02-06,Monday
08:20,08:25:00,13.45,10,2023-02-06,Monday
08:15,08:20:00,16.16,10,2023-02-06,Monday
08:10,08:15:00,9.06,1,2023-02-06,Monday
08:05,08:10:00,14.2,8,2023-02-06,Monday
08:00,08:05:00,9.01,5,2023-02-06,Monday
07:55,08:00:00,8.74,9,2023-02-06,Monday
07:50,07:55:00,12.95,5,2023-02-06,Monday
07:45,07:50:00,26.22,4,2023-02-06,Monday
07:40,07:45:00,13.27,8,2023-02-06,Monday
07:35,07:40:00,15.92,6,2023-02-06,Monday
09:00,09:05:00,21.16,8,2023-02-06,Monday
07:30,07:35:00,17.85,18,2023-02-06,Monday
09:05,09:10:00,14.27,6,2023-02-06,Monday
09:15,09:20:00,18.68,18,2023-02-06,Monday
10:40,10:45:00,19.31,3,2023-02-06,Monday
10:35,10:40:00,14.56,9,2023-02-06,Monday
10:30,10:35:00,32.3,7,2023-02-06,Monday
10:25,10:30:00,26.51,8,2023-02-06,Monday
10:20,10:25:00,24.61,8,2023-02-06,Monday
10:15,10:20:00,15.61,5,2023-02-06,Monday
10:10,10:15:00,19.38,8,2023-02-06,Monday
10:05,10:10:00,24.5,7,2023-02-06,Monday
10:00,10:05:00,17.6,9,2023-02-06,Monday
09:55,10:00:00,22.65,6,2023-02-06,Monday
09:50,09:55:00,15.57,10,2023-02-06,Monday
09:45,09:50:00,14.89,9,2023-02-06,Monday
09:40,09:45:00,16.22,6,2023-02-06,Monday
09:35,09:40:00,15.09,4,2023-02-06,Monday
09:30,09:35:00,18.95,5,2023-02-06,Monday
09:25,09:30:00,20.95,4,2023-02-06,Monday
09:20,09:25:00,19.7,9,2023-02-06,Monday
09:10,09:15:00,6.65,7,2023-02-06,Monday
10:45,10:50:00,16.7,12,2023-02-06,Monday
07:25,07:30:00,12.8,11,2023-02-06,Monday
07:15,07:20:00,12.01,8,2023-02-06,Monday
05:25,05:30:00,13.33,6,2023-02-06,Monday
05:20,05:25:00,17.06,1,2023-02-06,Monday
05:15,05:20:00,16.98,6,2023-02-06,Monday
05:10,05:15:00,25.67,1,2023-02-06,Monday
05:05,05:10:00,23.42,2,2023-02-06,Monday
05:00,05:05:00,2.55,1,2023-02-06,Monday
04:55,05:00:00,20.73,2,2023-02-06,Monday
04:50,04:55:00,15.3,4,2023-02-06,Monday
04:40,04:45:00,27.28,2,2023-02-06,Monday
04:35,04:40:00,27.54,3,2023-02-06,Monday
04:30,04:35:00,22.24,2,2023-02-06,Monday
04:25,04:30:00,25.87,4,2023-02-06,Monday
04:20,04:25:00,34.75,4,2023-02-06,Monday
04:15,04:20:00,35.2,4,2023-02-06,Monday
04:05,04:10:00,3.65,1,2023-02-06,Monday
03:55,04:00:00,9.94,3,2023-02-06,Monday
03:50,03:55:00,33.98,3,2023-02-06,Monday
05:30,05:35:00,26.72,3,2023-02-06,Monday
07:20,07:25:00,21.92,5,2023-02-06,Monday
05:35,05:40:00,25.6,2,2023-02-06,Monday
05:45,05:50:00,17.59,8,2023-02-06,Monday
07:10,07:15:00,21.7,11,2023-02-06,Monday
07:05,07:10:00,20.28,8,2023-02-06,Monday
07:00,07:05:00,27.46,8,2023-02-06,Monday
06:55,07:00:00,16.48,6,2023-02-06,Monday
06:50,06:55:00,26.13,3,2023-02-06,Monday
06:45,06:50:00,14.9,8,2023-02-06,Monday
06:40,06:45:00,28.68,13,2023-02-06,Monday
06:35,06:40:00,16.58,10,2023-02-06,Monday
06:30,06:35:00,13.04,5,2023-02-06,Monday
06:25,06:30:00,23.33,7,2023-02-06,Monday
06:20,06:25:00,16.57,9,2023-02-06,Monday
06:15,06:20:00,22.12,8,2023-02-06,Monday
06:10,06:15:00,23.81,8,2023-02-06,Monday
06:05,06:10:00,24.0,9,2023-02-06,Monday
06:00,06:05:00,28.76,7,2023-02-06,Monday
05:55,06:00:00,10.66,5,2023-02-06,Monday
05:50,05:55:00,25.89,4,2023-02-06,Monday
05:40,05:45:00,35.68,3,2023-02-06,Monday
10:50,10:55:00,17.48,8,2023-02-06,Monday
10:55,11:00:00,20.26,7,2023-02-06,Monday
11:00,11:05:00,15.81,5,2023-02-06,Monday
16:05,16:10:00,20.9,9,2023-02-06,Monday
16:00,16:05:00,9.38,9,2023-02-06,Monday
15:55,16:00:00,18.26,4,2023-02-06,Monday
15:50,15:55:00,10.74,8,2023-02-06,Monday
15:45,15:50:00,20.4,10,2023-02-06,Monday
15:35,15:40:00,21.25,11,2023-02-06,Monday
15:30,15:35:00,16.22,5,2023-02-06,Monday
15:25,15:30:00,22.97,6,2023-02-06,Monday
15:20,15:25:00,32.27,5,2023-02-06,Monday
15:15,15:20:00,11.45,7,2023-02-06,Monday
15:10,15:15:00,17.74,12,2023-02-06,Monday
15:05,15:10:00,13.33,10,2023-02-06,Monday
15:00,15:05:00,32.59,5,2023-02-06,Monday
14:55,15:00:00,27.29,7,2023-02-06,Monday
14:50,14:55:00,25.04,8,2023-02-06,Monday
14:45,14:50:00,13.17,7,2023-02-06,Monday
14:40,14:45:00,23.51,9,2023-02-06,Monday
16:10,16:15:00,21.47,3,2023-02-06,Monday
14:35,14:40:00,10.88,8,2023-02-06,Monday
16:15,16:20:00,20.65,10,2023-02-06,Monday
16:25,16:30:00,22.14,4,2023-02-06,Monday
17:50,17:55:00,14.9,6,2023-02-06,Monday
17:45,17:50:00,11.15,5,2023-02-06,Monday
17:40,17:45:00,21.19,6,2023-02-06,Monday
17:35,17:40:00,39.02,7,2023-02-06,Monday
17:30,17:35:00,29.46,4,2023-02-06,Monday
17:25,17:30:00,25.78,5,2023-02-06,Monday
17:20,17:25:00,18.55,4,2023-02-06,Monday
17:15,17:20:00,9.48,6,2023-02-06,Monday
17:10,17:15:00,11.15,11,2023-02-06,Monday
17:05,17:10:00,13.07,2,2023-02-06,Monday
17:00,17:05:00,13.98,6,2023-02-06,Monday
16:55,17:00:00,20.98,12,2023-02-06,Monday
16:50,16:55:00,20.63,4,2023-02-06,Monday
16:45,16:50:00,16.51,9,2023-02-06,Monday
16:40,16:45:00,19.6,6,2023-02-06,Monday
16:35,16:40:00,18.5,5,2023-02-06,Monday
16:30,16:35:00,14.79,7,2023-02-06,Monday
16:20,16:25:00,15.24,5,2023-02-06,Monday
14:30,14:35:00,8.24,8,2023-02-06,Monday
14:25,14:30:00,18.26,8,2023-02-06,Monday
14:20,14:25:00,22.55,4,2023-02-06,Monday
12:25,12:30:00,17.41,5,2023-02-06,Monday
12:20,12:25:00,19.11,13,2023-02-06,Monday
12:15,12:20:00,25.41,12,2023-02-06,Monday
12:10,12:15:00,15.36,6,2023-02-06,Monday
12:05,12:10:00,20.59,10,2023-02-06,Monday
12:00,12:05:00,18.37,13,2023-02-06,Monday
11:55,12:00:00,22.06,11,2023-02-06,Monday
11:50,11:55:00,21.43,12,2023-02-06,Monday
11:45,11:50:00,12.06,6,2023-02-06,Monday
11:40,11:45:00,17.57,5,2023-02-06,Monday
11:35,11:40:00,14.34,8,2023-02-06,Monday
11:30,11:35:00,19.23,9,2023-02-06,Monday
11:25,11:30:00,22.22,11,2023-02-06,Monday
11:20,11:25:00,15.51,10,2023-02-06,Monday
11:15,11:20:00,17.05,11,2023-02-06,Monday
11:10,11:15:00,33.59,6,2023-02-06,Monday
11:05,11:10:00,25.32,7,2023-02-06,Monday
12:30,12:35:00,24.92,6,2023-02-06,Monday
12:35,12:40:00,18.28,7,2023-02-06,Monday
00:00,00:05:00,25.79,2,2023-02-13,Monday
12:45,12:50:00,14.27,9,2023-02-06,Monday
14:15,14:20:00,29.3,6,2023-02-06,Monday
14:10,14:15:00,14.3,4,2023-02-06,Monday
14:05,14:10:00,38.25,2,2023-02-06,Monday
14:00,14:05:00,10.21,11,2023-02-06,Monday
13:55,14:00:00,31.68,5,2023-02-06,Monday
13:50,13:55:00,22.66,8,2023-02-06,Monday
13:45,13:50:00,23.02,3,2023-02-06,Monday
13:40,13:45:00,23.3,8,2023-02-06,Monday
