FromTime,ToTime,AverageSpeed,NumberOfVehicle,Date,Day
12:35,12:40:00,3.28,4,2023-02-20,Monday
20:25,20:30:00,4.43,3,2023-02-06,Monday
20:20,20:25:00,6.75,2,2023-02-06,Monday
20:15,20:20:00,4.08,5,2023-02-06,Monday
20:10,20:15:00,28.12,2,2023-02-06,Monday
20:05,20:10:00,10.27,10,2023-02-06,Monday
20:00,20:05:00,16.51,5,2023-02-06,Monday
19:55,20:00:00,2.49,6,2023-02-06,Monday
19:50,19:55:00,11.18,5,2023-02-06,Monday
19:45,19:50:00,7.56,6,2023-02-06,Monday
19:40,19:45:00,15.49,5,2023-02-06,Monday
19:35,19:40:00,4.92,3,2023-02-06,Monday
19:30,19:35:00,5.05,5,2023-02-06,Monday
19:25,19:30:00,4.58,9,2023-02-06,Monday
19:20,19:25:00,7.89,7,2023-02-06,Monday
19:15,19:20:00,19.01,1,2023-02-06,Monday
19:10,19:15:00,1.54,3,2023-02-06,Monday
19:05,19:10:00,6.83,5,2023-02-06,Monday
19:00,19:05:00,0.76,4,2023-02-06,Monday
18:55,19:00:00,1.07,4,2023-02-06,Monday
20:30,20:35:00,9.79,5,2023-02-06,Monday
18:50,18:55:00,0.87,2,2023-02-06,Monday
20:35,20:40:00,1.87,2,2023-02-06,Monday
20:45,20:50:00,10.29,3,2023-02-06,Monday
22:20,22:25:00,8.26,5,2023-02-06,Monday
22:15,22:20:00,20.43,3,2023-02-06,Monday
22:10,22:15:00,6.52,2,2023-02-06,Monday
22:05,22:10:00,16.44,4,2023-02-06,Monday
22:00,22:05:00,11.63,2,2023-02-06,Monday
21:55,22:00:00,6.59,6,2023-02-06,Monday
21:50,21:55:00,26.25,2,2023-02-06,Monday
21:45,21:50:00,5.51,1,2023-02-06,Monday
21:40,21:45:00,12.91,5,2023-02-06,Monday
21:35,21:40:00,5.36,4,2023-02-06,Monday
21:30,21:35:00,8.57,5,2023-02-06,Monday
21:25,21:30:00,13.37,4,2023-02-06,Monday
21:20,21:25:00,1.44,5,2023-02-06,Monday
21:15,21:20:00,7.27,3,2023-02-06,Monday
21:10,21:15:00,12.31,4,2023-02-06,Monday
21:05,21:10:00,2.59,7,2023-02-06,Monday
21:00,21:05:00,34.53,1,2023-02-06,Monday
20:55,21:00:00,18.66,9,2023-02-06,Monday
20:50,20:55:00,8.85,5,2023-02-06,Monday
20:40,20:45:00,3.12,4,2023-02-06,Monday
18:45,18:50:00,4.37,5,2023-02-06,Monday
18:40,18:45:00,2.99,4,2023-02-06,Monday
18:35,18:40:00,2.4,5,2023-02-06,Monday
16:25,16:30:00,5.12,7,2023-02-06,Monday
16:20,16:25:00,6.0,4,2023-02-06,Monday
16:15,16:20:00,5.9,4,2023-02-06,Monday
16:10,16:15:00,4.62,2,2023-02-06,Monday
16:05,16:10:00,5.97,6,2023-02-06,Monday
16:00,16:05:00,11.19,4,2023-02-06,Monday
15:55,16:00:00,10.42,6,2023-02-06,Monday
15:50,15:55:00,5.81,1,2023-02-06,Monday
15:45,15:50:00,4.43,8,2023-02-06,Monday
15:40,15:45:00,1.38,7,2023-02-06,Monday
15:35,15:40:00,5.28,4,2023-02-06,Monday
15:30,15:35:00,5.62,8,2023-02-06,Monday
15:25,15:30:00,3.4,5,2023-02-06,Monday
15:20,15:25:00,0.2,3,2023-02-06,Monday
15:15,15:20:00,5.53,6,2023-02-06,Monday
15:10,15:15:00,12.91,4,2023-02-06,Monday
15:05,15:10:00,3.26,3,2023-02-06,Monday
15:00,15:05:00,18.1,6,2023-02-06,Monday
14:55,15:00:00,3.65,7,2023-02-06,Monday
16:30,16:35:00,0.1,1,2023-02-06,Monday
16:35,16:40:00,7.02,2,2023-02-06,Monday
16:40,16:45:00,1.23,4,2023-02-06,Monday
16:45,16:50:00,1.51,4,2023-02-06,Monday
18:30,18:35:00,2.44,3,2023-02-06,Monday
18:25,18:30:00,5.11,3,2023-02-06,Monday
