FromTime,ToTime,AverageSpeed,NumberOfVehicle,Date,day_name
23:55:00,00:00:00,22.54,8,2023-02-01,Wednesday
00:00:00,00:05:00,24.27,4,2023-02-01,Wednesday
00:05:00,00:10:00,26.61,7,2023-02-01,Wednesday
00:10:00,00:15:00,34.52,8,2023-02-01,Wednesday
00:15:00,00:20:00,28.41,4,2023-02-01,Wednesday
00:20:00,00:25:00,40.3,3,2023-02-01,Wednesday
00:25:00,00:30:00,36.26,2,2023-02-01,Wednesday
00:30:00,00:35:00,19.1,8,2023-02-01,Wednesday
00:35:00,00:40:00,23.6,8,2023-02-01,Wednesday
00:40:00,00:45:00,19.95,5,2023-02-01,Wednesday
00:45:00,00:50:00,23.32,5,2023-02-01,Wednesday
00:50:00,00:55:00,37.27,5,2023-02-01,Wednesday
01:00:00,01:05:00,14.78,6,2023-02-01,Wednesday
01:05:00,01:10:00,32.52,5,2023-02-01,Wednesday
01:10:00,01:15:00,33.21,5,2023-02-01,Wednesday
01:15:00,01:20:00,25.25,1,2023-02-01,Wednesday
01:20:00,01:25:00,22.34,3,2023-02-01,Wednesday
01:25:00,01:30:00,18.97,10,2023-02-01,Wednesday
01:30:00,01:35:00,39.94,8,2023-02-01,Wednesday
01:35:00,01:40:00,19.0,4,2023-02-01,Wednesday
01:40:00,01:45:00,21.09,2,2023-02-01,Wednesday
01:45:00,01:50:00,41.27,1,2023-02-01,Wednesday
01:50:00,01:55:00,16.75,1,2023-02-01,Wednesday
01:55:00,02:00:00,29.66,3,2023-02-01,Wednesday
02:00:00,02:05:00,30.68,3,2023-02-01,Wednesday
02:05:00,02:10:00,24.08,5,2023-02-01,Wednesday
02:10:00,02:15:00,21.09,3,2023-02-01,Wednesday
02:15:00,02:20:00,34.35,2,2023-02-01,Wednesday
02:20:00,02:25:00,21.97,6,2023-02-01,Wednesday
02:25:00,02:30:00,30.46,2,2023-02-01,Wednesday
02:30:00,02:35:00,23.15,6,2023-02-01,Wednesday
02:35:00,02:40:00,21.92,3,2023-02-01,Wednesday
02:40:00,02:45:00,15.45,4,2023-02-01,Wednesday
02:45:00,02:50:00,32.18,3,2023-02-01,Wednesday
02:50:00,02:55:00,19.13,4,2023-02-01,Wednesday
03:05:00,03:10:00,32.8,5,2023-02-01,Wednesday
